País,Renda per Cápita (US$),PIB (US$ bilhões),População (milhões),Expectativa de Vida (anos)
Estados Unidos,"65,118",21433,331.0,79.11
China,"10,262",14342,"1,402.0",76.91
Japão,"40,847",5082,126.3,84.67
Alemanha,"46,259",3861,83.2,81.33
Índia,"2,338",2869,"1,366.0",69.66
Brasil,"8,717",2056,212.6,75.88
Reino Unido,"41,059",2828,67.9,81.27
França,"40,493",2778,65.3,82.57
Itália,"34,32",2002,60.4,83.24
Canadá,"46,233",1736,37.6,82.30
Rússia,"11,585",1699,144.1,72.58
Austrália,"53,825",1397,25.5,82.89
Coreia do Sul,"31,846",1629,51.7,82.59
Espanha,"29,715",1393,46.7,83.51
México,"10,118",1269,128.9,75.13
Indonésia,"4,135",1042,273.5,71.72
Holanda,"52,331",912,17.4,82.17
Arábia Saudita,"23,139",779,34.8,75.13
Turquia,"8,958",761,84.3,77.93
Suíça,"82,839",746,8.6,83.93
Argentina,"10,549",449,45.4,76.28
Suécia,"52,477",541,10.4,82.78
Polônia,"15,45",596,38.3,78.47
Bélgica,"46,482",533,11.5,81.69
Noruega,"81,694",434,5.4,82.94
Irã,6,463,83.0,76.02
Áustria,"51,641",449,8.9,81.74
Tailândia,"7,808",514,69.8,77.15
Nigéria,"2,149",432,206.1,54.33
Emirados Árabes,"43,47",421,9.9,77.97
Egito,"3,019",363,102.3,72.54
Filipinas,"3,485",362,108.1,71.16
Singapura,"65,233",372,5.7,83.45
Vietnã,"3,537",340,97.3,75.28
Malásia,"10,24",336,32.4,75.04
Chile,"15,01",282,19.1,80.10
Paquistão,"1,543",284,220.9,67.27
Colômbia,"6,498",336,50.9,77.29
Peru,"6,978",229,32.9,76.02
Ucrânia,"3,727",155,41.0,71.76
Bangladesh,"1,998",324,164.7,72.32
Romênia,"12,896",244,19.1,75.45
Hungria,"17,846",180,9.6,76.75
Grécia,"19,193",209,10.4,81.04
República Checa,"23,496",251,10.7,79.31
Portugal,"23,333",237,10.2,81.32
Iraque,"4,96",224,40.2,70.27
Nova Zelândia,"42,634",212,4.9,82.42
Cuba,"9,099",100,11.3,79.18
